FKZ;Ressort;Referat;PT;Arb.-Einh.;Zuwendungsempfaenger;Gemeindekennziffer;Stadt/Gemeinde;Ort;Land;Staat;AusfuehrendeStelle;Gemeindekennziffer_1;Stadt/Gemeinde_2;Ort_3;Land_4;Staat_5;Thema;Leistungsplansystematik;KlartextLeistungsplansystematik;LaufzeitVon;LaufzeitBis;FoerdersummeInEUR;Foerderprofil;Verbundprojekt
01M2978A/0;BMBF;512;PT-DLR;ES;Robert Bosch Gesellschaft mit beschraenkter Haftung;8118019;Gerlingen, Stadt;Gerlingen;Baden-Wuerttemberg;;Robert Bosch Gesellschaft mit beschraenkter Haftung - Geschaeftsbereich K8;8415061;Reutlingen, Stadt;Reutlingen;Baden-Wuerttemberg;;Verbundprojekt: Fortschrittliche Smart-Power-Prozesse fuer Automobilanwendungen (MEDEA T 508);GC2010;Bauelemente und Strukturen fuer den Sub-100 nm Bereich;1041997;30062001;3696410;Technologie- und Innovationsfoerderung;Fortschrittliche Smart-Power-Prozesse fuer Automobilanwendungen (MEDEA T 508)
01M2977B/2;BMBF;512;PT-DLR;ES;Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung e.V.;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Fraunhofer-Institut fuer Siliziumtechnologie (ISIT);1061046;Itzehoe, Stadt;Itzehoe;Schleswig-Holstein;;Verbundprojekt: 8-Zoll Epi-Wafer fuer Power MOS Schaltkreise (POSI);GC2010;Bauelemente und Strukturen fuer den Sub-100 nm Bereich;1041997;31032000;901408;Technologie- und Innovationsfoerderung;8-Zoll Epi-Wafer fuer Power MOS Schaltkreise (POSI)
02PV1226/2;BMBF;521;PTKA;PFT (KA);G. Siempelkamp GmbH & Co.KG;5114000;Krefeld, Stadt;Krefeld;Nordrhein-Westfalen;;G. Siempelkamp GmbH & Co.KG;5114000;Krefeld, Stadt;Krefeld;Nordrhein-Westfalen;;Verbundprojekt: Innovative Giesserei - Teilprojekt: Endabmessungsnaher Grauguss (GG und GGG) - Arbeitsschwerpunkt: Hoeherfeste GGG-Gussteile mit ausreichender Duktiltaet;M09010;Produktentwicklungsmethoden und Produktionsverfahren;1101997;31012000;237494;Technologie- und Innovationsfoerderung;Innovative Giesserei
02PV1221/9;BMBF;521;PTKA;PFT (KA);Meuselwitz Guss Eisengiesserei GmbH;16077032;Meuselwitz, Stadt;Meuselwitz;Thueringen;;Meuselwitz Guss Eisengiesserei GmbH;16077032;Meuselwitz, Stadt;Meuselwitz;Thueringen;;Verbundprojekt: Innovative Giesserei - Teilprojekt: Endabmessungsnaher Grossguss CGG und GGG - Arbeitsschwerpunkt: Minimierung von Eigenspannungen;M09010;Produktentwicklungsmethoden und Produktionsverfahren;1101997;30042000;153779;Technologie- und Innovationsfoerderung;Innovative Giesserei
01M2977A/0;BMBF;512;PT-DLR;ES;Vishay Siliconix Itzehoe GmbH;1061046;Itzehoe, Stadt;Itzehoe;Schleswig-Holstein;;Vishay Siliconix Itzehoe GmbH;1061046;Itzehoe, Stadt;Itzehoe;Schleswig-Holstein;;Verbundprojekt: 8-Zoll Epi-Wafer fuer Power MOS Schaltkreise (POSI);GC2010;Bauelemente und Strukturen fuer den Sub-100 nm Bereich;1041997;30092000;1375795;Technologie- und Innovationsfoerderung;8-Zoll Epi-Wafer fuer Power MOS Schaltkreise (POSI)
02PV1224/7;BMBF;521;PTKA;PFT (KA);Siemens Aktiengesellschaft;14511000;Chemnitz, Stadt;Chemnitz;Sachsen;;Siemens Aktiengesellschaft;14511000;Chemnitz, Stadt;Chemnitz;Sachsen;;Verbundprojekt: Innovative Giesserei - Teilprojekt: Wertschoepfungskette in den indirekten Bereichen - Arbeitsschwerpunkte: Entwicklung in einer Giesserei mit Kundenguss und Serienfertigung;M09010;Produktentwicklungsmethoden und Produktionsverfahren;1101997;30062000;126961;Technologie- und Innovationsfoerderung;Innovative Giesserei
02PV1222/1;BMBF;521;PTKA;PFT (KA);Claas Guss GmbH & Co. KG;5711000;Bielefeld, Stadt;Bielefeld;Nordrhein-Westfalen;;Claas Guss GmbH & Co. KG;5711000;Bielefeld, Stadt;Bielefeld;Nordrhein-Westfalen;;Verbundprojekt: Innovative Giesserei - Teilprojekt: Wertschoepfungskette in den indirekten Bereichen - Arbeitsschwerpunkt: Entwicklung in einer Giesserei mit Klein- und Mittelserien;M09010;Produktentwicklungsmethoden und Produktionsverfahren;1101997;30091999;125029;Technologie- und Innovationsfoerderung;Innovative Giesserei
02PV1225/0;BMBF;521;PTKA;PFT (KA);Forschungsinstitut fuer Rationalisierung e.V.;5334002;Aachen, Stadt;Aachen;Nordrhein-Westfalen;;Forschungsinstitut fuer Rationalisierung e.V.;5334002;Aachen, Stadt;Aachen;Nordrhein-Westfalen;;Verbundprojekt: Innovative Giesserei - Teilprojekt: Wertschoepfungskette in den indirekten Bereichen - Arbeitsschwerpunkt: Betriebsorganisation;M09010;Produktentwicklungsmethoden und Produktionsverfahren;1071997;30062000;88505;Technologie- und Innovationsfoerderung;Innovative Giesserei
16SV627 /2;BMBF;522;PT-VDI/VDE;TZ-MST;Technische Universitaet Chemnitz;14511000;Chemnitz, Stadt;Chemnitz;Sachsen;;Technische Universitaet Chemnitz - Fakultaet fuer Elektrotechnik und Informationstechnik;14511000;Chemnitz, Stadt;Chemnitz;Sachsen;;Verbundprojekt: Werkstoffdatenbank fuer die Simulation mikrosystemtechnischer Komponenten (SimiKo) - Teilvorhaben: Materialdaten fuer den Entwurf von Siliziumstrukturen;GD3185;Wissenschaftliche Grundlagen fuer die Mikrosystemtechnik;1071997;30092000;202472;Technologie- und Innovationsfoerderung;Werkstoffdatenbank fuer die Simulation mikro-systemtechnischer Komponenten (SimiKo)
16SV628 /3;BMBF;522;PT-VDI/VDE;TZ-MST;Forschungsgesellschaft fuer Technische Mechanik FEMCOS - Ingenieurbuero mbH;15003000;Magdeburg, Landeshauptstadt;Magdeburg;Sachsen-Anhalt;;Forschungsgesellschaft fuer Technische Mechanik FEMCOS - Ingenieurbuero mbH;15003000;Magdeburg, Landeshauptstadt;Magdeburg;Sachsen-Anhalt;;Verbundprojekt: Werkstoffdatenbank fuer die Simulation mikrosystemtechnischer Komponenten (SimiKo) - Teilvorhaben: Finite -Element-Analyse von mikrosystemtechnischen Komponenten auf Grundlage einer einheitlichen Modelldatenbeschreibung;GD3185;Wissenschaftliche Grundlagen fuer die Mikrosystemtechnik;1071997;31122000;235307;Technologie- und Innovationsfoerderung;Werkstoffdatenbank fuer die Simulation mikro-systemtechnischer Komponenten (SimiKo)
03G0531A/4;BMBF;725;PT-J;MGS1;GEOMAR - Helmholtz-Zentrum fuer Ozeanforschung Kiel;1002000;Kiel, Landeshauptstadt;Kiel;Schleswig-Holstein;;GEOMAR - Helmholtz-Zentrum fuer Ozeanforschung Kiel;1002000;Kiel, Landeshauptstadt;Kiel;Schleswig-Holstein;;Scotia Arc: Kollision und Rifting der Sandwich und Shetland Platte, Stoffaustausch an Grundtypen kollidierender Krustenteile im Scotia Meer (Suedatlantik);FB8710;Geo-Prozesse der kontinentalen und ozeanischen Lithosphaere;1081997;30061998;141420;Forschung und Entwicklung zur Daseinsvorsorge;
03F0198A/5;BMBF;725;PT-J;MGS1;Technische Universitaet Carolo-Wilhelmina zu Braunschweig;3101000;Braunschweig, Stadt;Braunschweig;Niedersachsen;;Technische Universitaet Carolo-Wilhelmina zu Braunschweig - Fakultaet 2 - Lebenswissenschaften - Institut fuer Pharmazeutische Biologie;3101000;Braunschweig, Stadt;Braunschweig;Niedersachsen;;Marine Naturstoffe: Naturstoffe aus kultivierbaren marinen Organismen (NATMAR);FB3010;Identifizierung und Untersuchung mariner Naturstoffe;1091997;31081998;52770;Forschung und Entwicklung zur Daseinsvorsorge;
16SV630 /4;BMBF;522;PT-VDI/VDE;TZ-MST;IMA Materialforschung und Anwendungstechnik GmbH;14612000;Dresden, Stadt;Dresden;Sachsen;;IMA Materialforschung und Anwendungstechnik GmbH;14612000;Dresden, Stadt;Dresden;Sachsen;;Verbundprojekt: Werkstoffdatenbank fuer die Simulation mikrosystemtechnischer Komponenten (SimiKo) - Teilvorhaben: Datenbankentwicklung und -aufbau fuer Simiko;GD3185;Wissenschaftliche Grundlagen fuer die Mikrosystemtechnik;1071997;30092000;168012;Technologie- und Innovationsfoerderung;Werkstoffdatenbank fuer die Simulation mikro-systemtechnischer Komponenten (SimiKo)
16SV631 /5;BMBF;522;PT-VDI/VDE;TZ-MST;Daimler AG;6412000;Frankfurt am Main, Stadt;Frankfurt am Main;Hessen;;Daimler AG - Forschung und Technologie - Labor Mikroelektronik - Aufbau- und Verbindungstechnik FT2/EV;6412000;Frankfurt am Main, Stadt;Frankfurt am Main;Hessen;;Verbundprojekt: Werkstoffdatenbank fuer die Simulation mikrosystemtechnischer Komponenten (SimiKo) - Teilvorhaben: Materialeigenschaften fuer die AVT;GD3185;Wissenschaftliche Grundlagen fuer die Mikrosystemtechnik;1071997;30092000;347563;Technologie- und Innovationsfoerderung;Werkstoffdatenbank fuer die Simulation mikro-systemtechnischer Komponenten (SimiKo)
01LK9702/0;BMBF;724;PT-DLR;UF;Technische Universitaet Muenchen;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Technische Universitaet Muenchen - Lehrstuhl fuer Landschaftsoekologie;9178124;Freising, GKSt;Freising;Bayern;;Grundlagen fuer ein landschaftsoekologisches Entwicklungskonzept in Nordost-Brasilien;FA1022;Klimaanpassung;1081997;31102001;650834;Forschung und Entwicklung zur Daseinsvorsorge;
16SV632 /6;BMBF;522;PT-VDI/VDE;TZ-MST;Daimler Aerospace GmbH & Co. KG;8421000;Ulm, Universitaetsstadt;Ulm;Baden-Wuerttemberg;;Daimler Aerospace GmbH & Co. KG - Produktbereich Sensorsysteme - Bereich Technik;8421000;Ulm, Universitaetsstadt;Ulm;Baden-Wuerttemberg;;Verbundprojekt: Werkstoffdatenbank fuer die Simulation mikrosystemtechnischer Komponenten (SimiKo) - Teilvorhaben: Charakterisierung und Thermalanalyse neuer Packaging Werkstoffe fuer Mikrosysteme;GD3185;Wissenschaftliche Grundlagen fuer die Mikrosystemtechnik;1071997;31122000;261284;Technologie- und Innovationsfoerderung;Werkstoffdatenbank fuer die Simulation mikro-systemtechnischer Komponenten (SimiKo)
0310965 /9;BMBF;614;PT-J;BIO7;Albert-Ludwigs-Universitaet Freiburg;8311000;Freiburg im Breisgau, Stadt;Freiburg im Breisgau;Baden-Wuerttemberg;;Albert-Ludwigs-Universitaet Freiburg - Fakultaet fuer Biologie - Institut fuer Biologie III;8311000;Freiburg im Breisgau, Stadt;Freiburg;Baden-Wuerttemberg;;Verbundprojekt: Nutzung der Mikroelektroden-Array (MEA)-Technik in der pharmazeutischen Biotechnologie - Teilprojekt: Netzwerkanalyse;AA0250;Translationsforschung;1061997;31051999;218292;Technologie- und Innovationsfoerderung;Nutzung der Mikroelektroden-Array (MEA)-Technik in der pharmazeutischen Biotechnologie
0310967 /0;BMBF;614;PT-J;BIO7;Universitaet zu Koeln;5315000;Koeln, Stadt;Koeln;Nordrhein-Westfalen;;Universitaet zu Koeln - Medizinische Fakultaet - Universitaetsklinikum - Institut fuer Neurophysiologie;5315000;Koeln, Stadt;Koeln;Nordrhein-Westfalen;;Verbundprojekt: Nutzung der Mikroelektroden-Array (MEA)-Technik in der pharmazeutischen Biotechnologie - Teilprojekt: Herz-Kreislauf-Wirkstoffe;AA0250;Translationsforschung;1061997;31051999;82729;Technologie- und Innovationsfoerderung;Nutzung der Mikroelektroden-Array (MEA)-Technik in der pharmazeutischen Biotechnologie
16SV633 /7;BMBF;522;PT-VDI/VDE;TZ-MST;Siemens Aktiengesellschaft;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Siemens Aktiengesellschaft - Zentralbereich Technik;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Verbundprojekt: Werkstoffdatenbank fuer die Simulation mikrosystemtechnischer Komponenten (SimiKo) - Teilvorhaben: Werkstoffuntersuchungen zur Ermittlung von Materialparametern von Leistungshalbleitermodul;GD3185;Wissenschaftliche Grundlagen fuer die Mikrosystemtechnik;1071997;30062000;789878;Technologie- und Innovationsfoerderung;Werkstoffdatenbank fuer die Simulation mikro-systemtechnischer Komponenten (SimiKo)
01LT0011/7;BMBF;727;PT-DLR;UF;Eberhard Karls Universitaet Tuebingen;8416041;Tuebingen, Universitaetsstadt;Tuebingen;Baden-Wuerttemberg;;Eberhard Karls Universitaet Tuebingen - Fakultaet fuer Biologie - Zoologisches Institut;8416041;Tuebingen, Universitaetsstadt;Tuebingen;Baden-Wuerttemberg;;SHIFT-Projekt: Naturnahe Wiederaufforstung des suedbrasilianischen Araukarien-Waldes - Entwicklung einer nachhaltigen agro-forstwirtschaftlichen Nutzung;FD2011;Forschung fuer eine zukunftsorientierte Forstwirtschaft;1081997;31122001;1865653;Technologie- und Innovationsfoerderung;
16SV637 /0;BMBF;522;PT-VDI/VDE;TZ-MST;Bundesanstalt fuer Materialforschung und -pruefung (BAM);11000000;Berlin, Stadt;Berlin;Berlin;;Bundesanstalt fuer Materialforschung und -pruefung (BAM);11000000;Berlin, Stadt;Berlin;Berlin;;Verbundprojekt: Werkstoffdatenbank fuer die Simulation mikrosystemtechnischer Komponenten (SimiKo) - Teilvorhaben: Sicherheit und Zuverlaessigkeit von Elektrokeramik fuer die Mikrosystemtechnik;GD3185;Wissenschaftliche Grundlagen fuer die Mikrosystemtechnik;1071997;30092000;220060;Technologie- und Innovationsfoerderung;Werkstoffdatenbank fuer die Simulation mikro-systemtechnischer Komponenten (SimiKo)
16SV554 /7;BMBF;522;PT-VDI/VDE;TZ-MST;First Sensor Microelectronic Packaging GmbH;14612000;Dresden, Stadt;Dresden;Sachsen;;First Sensor Microelectronic Packaging GmbH;14612000;Dresden, Stadt;Dresden;Sachsen;;Verbundprojekt: Chip Size Packaging (CSP) - Teilvorhaben: Chip Size Package fuer Single Chip (CSP fuer SC);GD3181;Weiterentwicklung der Systemtechniken;1011997;31031999;422501;Technologie- und Innovationsfoerderung;Chip Size Packaging (CSP)
B813500 /7;BMBF;314;BF;;Stiftung Lesen;7315000;Mainz, Stadt;Mainz;Rheinland-Pfalz;;Stiftung Lesen;7315000;Mainz, Stadt;Mainz;Rheinland-Pfalz;;Lesen im Umbruch - Forschungsperspektiven im Zeitalter von Multimedia (Frankfurt am Main, 27.-28.6.1997);OB1010;Ressortforschung, wissenschaftliche Tagungen, Erfahrungsaustausch im Bereich der beruflichen Bildung, Sonstiges;1061997;31081998;17108;Forschung und Entwicklung zur Daseinsvorsorge;
W103700 /4;BMBF;334;BF;;Kulturpolitische Gesellschaft e.V.;5314000;Bonn, Stadt;Bonn;Nordrhein-Westfalen;;Kulturpolitische Gesellschaft e.V.;5914000;Hagen, Stadt der FernUniversitaet;Hagen;Nordrhein-Westfalen;;Freiwilligenarbeit in der kulturellen Bildung - Entwicklung und Erprobung von Massnahmen zur Intensivierung und Qualifizierung ehrenamtlichen Engagements im Kulturbereich;OB5200;Innovative Entwicklungsprogramme;1071997;31121999;235194;Forschung und Entwicklung zur Daseinsvorsorge;
01M2983E/5;BMBF;512;PT-DLR;ES;Technische Universitaet Ilmenau;16070029;Ilmenau, Stadt;Ilmenau;Thueringen;;Technische Universitaet Ilmenau - Fakultaet fuer Maschinenbau - Institut fuer Mikrosystemtechnik;16070029;Ilmenau, Stadt;Ilmenau;Thueringen;;Verbundprojekt: Ionen Projektions Lithographie (IPL);GC2010;Bauelemente und Strukturen fuer den Sub-100 nm Bereich;1041997;31032001;452778;Technologie- und Innovationsfoerderung;Ionen Projektions Lithographie (IPL)
K541700B/6;BMBF;314;BF;;Saechsisches Staatsministerium fuer Kultus;14612000;Dresden, Stadt;Dresden;Sachsen;;Technische Universitaet Chemnitz - Lehrstuhl Didaktik;14511000;Chemnitz, Stadt;Chemnitz;Sachsen;;Anwendung multimedialer Kommunikation zur Umsetzung von Lehrplaenen der Berufsausbildung (wissenschaftliche Begleitung);OB1050;Versuchs- und Modelleinrichtungen und -programme im Bereich der beruflichen Bildung;1021998;30042001;106296;Forschung und Entwicklung zur Daseinsvorsorge;
K541700 /3;BMBF;314;BF;;Saechsisches Staatsministerium fuer Kultus;14612000;Dresden, Stadt;Dresden;Sachsen;;Technische Universitaet Chemnitz - Berufliches Schulzentrum fuer Technik;14511000;Chemnitz, Stadt;Chemnitz;Sachsen;;Anwendung multimedialer Kommunikation zur Umsetzung von Lehrplaenen der Berufsausbildung;OB1050;Versuchs- und Modelleinrichtungen und -programme im Bereich der beruflichen Bildung;1091997;31082000;180058;Forschung und Entwicklung zur Daseinsvorsorge;
K068800 /8;BMBF;314;BF;;Bayerisches Staatsministerium fuer Unterricht und Kultus (alt);9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Staatsinstitut fuer Schulpaedagogik und Bildungsforschung (ISB);9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;UV: Multimedia und Telekommunikation fuer berufliche Schulen;OB1050;Versuchs- und Modelleinrichtungen und -programme im Bereich der beruflichen Bildung;1091997;28022000;293359;Forschung und Entwicklung zur Daseinsvorsorge;
K068800B/0;BMBF;314;BF;;Bayerisches Staatsministerium fuer Unterricht und Kultus (alt);9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Technische Universitaet Muenchen - Lehrstuhl fuer Paedagogik;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;WB zum UV: Multimedia und Telekommunikation fuer berufliche Schulen;OB1050;Versuchs- und Modelleinrichtungen und -programme im Bereich der beruflichen Bildung;1091997;28022000;244107;Forschung und Entwicklung zur Daseinsvorsorge;
K401900 /2;BMBF;314;BF;;Hessisches Kultusministerium;6414000;Wiesbaden, Landeshauptstadt;Wiesbaden;Hessen;;Hessisches Institut fuer Bildungsplanung und Schulentwicklung (HIBS);6414000;Wiesbaden, Landeshauptstadt;Wiesbaden;Hessen;;Selbstorganisierte Lernprozesse und neue Lernwelten in der beruflichen Bildung;OB1050;Versuchs- und Modelleinrichtungen und -programme im Bereich der beruflichen Bildung;1091997;30042000;190224;Forschung und Entwicklung zur Daseinsvorsorge;
K251700B/0;BMBF;314;BF;;Ministerium fuer Kultus, Jugend und Sport Baden-Wuerttemberg;8111000;Stuttgart, Landeshauptstadt;Stuttgart;Baden-Wuerttemberg;;Karlsruher Institut fuer Technologie (KIT) - Institut fuer Berufspaedagogik und Allgemeine Paedagogik;8212000;Karlsruhe, Stadt;Karlsruhe;Baden-Wuerttemberg;;Computerunterstuetztes Lernen im Technologieunterricht - Lernbereich Automatisierungstechnik/Handhabungstechnik (CULT) (wissenschaftliche Begleitung);OB1050;Versuchs- und Modelleinrichtungen und -programme im Bereich der beruflichen Bildung;1091997;31072000;91943;Forschung und Entwicklung zur Daseinsvorsorge;
01M2983F/8;BMBF;512;PT-DLR;ES;IMMS Institut fuer Mikroelektronik- und Mechatronik-Systeme gemeinnuetzige GmbH (IMMS GmbH);16070029;Ilmenau, Stadt;Ilmenau;Thueringen;;IMMS Institut fuer Mikroelektronik- und Mechatronik-Systeme gemeinnuetzige GmbH (IMMS GmbH);16070029;Ilmenau, Stadt;Ilmenau;Thueringen;;Verbundprojekt: Ionen Projektions Lithographie (IPL);GC2010;Bauelemente und Strukturen fuer den Sub-100 nm Bereich;1041997;31032001;487230;Technologie- und Innovationsfoerderung;Ionen Projektions Lithographie (IPL)
K251700 /8;BMBF;314;BF;;Ministerium fuer Kultus, Jugend und Sport Baden-Wuerttemberg;8111000;Stuttgart, Landeshauptstadt;Stuttgart;Baden-Wuerttemberg;;Landesinstitut fuer Erziehung und Unterricht;8111000;Stuttgart, Landeshauptstadt;Stuttgart;Baden-Wuerttemberg;;Computerunterstuetztes Lernen im Technologieunterricht - Lernbereich Automatisierungstechnik/Handhabungstechnik (CULT);OB1050;Versuchs- und Modelleinrichtungen und -programme im Bereich der beruflichen Bildung;1091997;28022000;117419;Forschung und Entwicklung zur Daseinsvorsorge;
K088500 /7;BMBF;314;BF;;Freie Hansestadt Bremen - Die Senatorin fuer Kinder und Bildung;4011000;Bremen, Stadt;Bremen;Bremen;;Freie Hansestadt Bremen - Schulzentrum Sekundarbereich II;4012000;Bremerhaven, Stadt;Bremerhaven;Bremen;;UV: Interaktives Lernen in multimedialen Qualifizierungssystemen;OB1050;Versuchs- und Modelleinrichtungen und -programme im Bereich der beruflichen Bildung;1091997;28022000;276472;Forschung und Entwicklung zur Daseinsvorsorge;
K088500B/0;BMBF;314;BF;;Freie Hansestadt Bremen - Die Senatorin fuer Kinder und Bildung;4011000;Bremen, Stadt;Bremen;Bremen;;Universitaet Bremen - Fachbereich 11 Human- und Gesundheitswissenschaften - Institut fuer Technik und Bildung;4011000;Bremen, Stadt;Bremen;Bremen;;WB zum UV 'Interaktives Lernen in multimedialen Qualifizierungssystemen';OB1050;Versuchs- und Modelleinrichtungen und -programme im Bereich der beruflichen Bildung;1091997;28022000;96975;Forschung und Entwicklung zur Daseinsvorsorge;
01M3036F/0;BMBF;512;PT-DLR;ES;Verysys Electronic Design Automation GmbH;11000000;Berlin, Stadt;Berlin;Berlin;;Verysys Electronic Design Automation GmbH;11000000;Berlin, Stadt;Berlin;Berlin;;Verbundprojekt: Entwicklung innovativer Methoden zur Wiederverwendung und zum Prototyping elektronischer Systeme (EURIPIDES);GC1020;Rechnergestuetzter Chipentwurf (EDA);1031997;31122000;32306;Technologie- und Innovationsfoerderung;EURIPIDES
13N7204 /5;BMBF;523;PT-VDI;TZ-PT;NANOSENSORS GmbH & Co. KG;6532021;Solms, Stadt;Solms;Hessen;;NANOSENSORS GmbH & Co. KG;6532023;Wetzlar, Stadt;Wetzlar;Hessen;;Verbundprojekt: Neuartige Sonden- und Detektionsprinzipien - Teilvorhaben: Multifunktionale Silizium-Sensoren fuer die Rastersondenmikroskopie und Integration der Auslenkungsdetektion;KA1110;Prozesstechnik und Nanoanalytik;1101997;30092000;210414;Technologie- und Innovationsfoerderung;Neuartige Sonden- und Detektionsprinzipien
0329601G/3;BMWi;IIC6;PT-J;ESN4;ZfS-Rationelle Energietechnik GmbH;5158016;Hilden, Stadt;Hilden;Nordrhein-Westfalen;;ZfS-Rationelle Energietechnik GmbH;5158016;Hilden, Stadt;Hilden;Nordrhein-Westfalen;;Verbundprojekt: Solarthermie 2000 - Teilprogramm 2: Wissenschaftlich-technische Programmbegleitung;EA4182;Begleitende Projektfoerderung zur Foerdermassnahme SOLARTHERMIE-2000;1071997;31102000;1758374;Technologie- und Innovationsfoerderung;Solarthermie 2000
0329501B/2;BMWi;IIC6;PT-J;ESN1;Landeshauptstadt Muenchen;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Landeshauptstadt Muenchen - Direktorium;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;MEMS - Muenchener Energie Management System (170 Liegenschaften);EA4400;Energieoptimierte Gebaeude;1051997;30092000;297367;Technologie- und Innovationsfoerderung;
13N7205 /6;BMBF;523;PT-VDI;TZ-PT;Ludwig-Maximilians-Universitaet Muenchen;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Ludwig-Maximilians-Universitaet Muenchen - Fakultaet fuer Geowissenschaften - Department fuer Geo- und Umweltwissenschaften - Sektion Kristallographie;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Verbundprojekt: Neuartige Sonden- und Detektionsprinzipien - Teilvorhaben: Nanoporoeses Silizium als Sonde fuer die nahfeldoptische Mikroskopie;KA1110;Prozesstechnik und Nanoanalytik;1101997;30092000;401364;Technologie- und Innovationsfoerderung;Neuartige Sonden- und Detektionsprinzipien
13N7188 /7;BMBF;523;PT-VDI;TZ-PT;Universitaet Kassel;6611000;Kassel, documenta-Stadt;Kassel;Hessen;;Universitaet Kassel - Fachbereich 10 Mathematik und Naturwissenschaften - Institut fuer Physik - Arbeitsgruppe Technische Physik;6611000;Kassel, documenta-Stadt;Kassel;Hessen;;Verbundprojekt: Neuartige Sonden- und Detektionsprinzipien - Teilvorhaben: Untersuchung von neuartigen optischen Sonden fuer die kombinierte SNOM/SNIM und RKM;KA1110;Prozesstechnik und Nanoanalytik;1101997;31012001;456072;Technologie- und Innovationsfoerderung;Neuartige Sonden- und Detektionsprinzipien
07AF223C/1;BMBF;724;PT-GSF;PT-UKF;Technische Universitaet Darmstadt;6411000;Darmstadt, Wissenschaftsstadt;Darmstadt;Hessen;;Technische Universitaet Darmstadt - Fachbereich Chemie - Eduard-Zintl-Institut fuer Anorganische und Physikalische Chemie;6411000;Darmstadt, Wissenschaftsstadt;Darmstadt;Hessen;;Untersuchung des Mechanismus der Bildung und der Wirkung von HONO in der urbanen Atmosphaere;FA1011;Klimaprozesse;1091997;31121999;46083;Forschung und Entwicklung zur Daseinsvorsorge;
07AF224 /7;BMBF;724;PT-GSF;PT-UKF;Johann Wolfgang Goethe-Universitaet Frankfurt am Main;6412000;Frankfurt am Main, Stadt;Frankfurt am Main;Hessen;;Johann Wolfgang Goethe-Universitaet Frankfurt am Main - Institut fuer Meteorologie und Geophysik;6412000;Frankfurt am Main, Stadt;Frankfurt am Main;Hessen;;Aerosol- und Strahlungshaushaltsmessungen waehrend des Schliessungsexperiments in Lindenberg (Brandenburg) mit Beteiligung an der in-situ-Schliessung am Boden und der Saeulenschliessung;FA1011;Klimaprozesse;1101997;31122000;109213;Forschung und Entwicklung zur Daseinsvorsorge;
07AF225 /8;BMBF;724;PT-GSF;PT-UKF;Bergische Universitaet Wuppertal;5124000;Wuppertal, Stadt;Wuppertal;Nordrhein-Westfalen;;Bergische Universitaet Wuppertal - Fachbereich C - Mathematik und Naturwissenschaften - Fachgruppe Chemie - Physikalische Chemie;5124000;Wuppertal, Stadt;Wuppertal;Nordrhein-Westfalen;;Ausbeuten von Aerosolvorlaeufersubstanzen bei der DMS-Oxidation als Funktion von atmosphaerischen Bedingungen (Temperatur und NOx);FA1011;Klimaprozesse;1031998;28022001;119998;Forschung und Entwicklung zur Daseinsvorsorge;
07VWK03 /8;BMBF;724;PT-GSF;PT-UKF;Helmholtz-Zentrum Geesthacht Zentrum fuer Material- und Kuestenforschung GmbH;1053032;Geesthacht, Stadt;Geesthacht;Schleswig-Holstein;;Helmholtz-Zentrum Geesthacht Zentrum fuer Material- und Kuestenforschung GmbH;1053032;Geesthacht, Stadt;Geesthacht;Schleswig-Holstein;;Ermittlung und Analysen des Niederschlages und anderer meteorologischer Parameter ueber dem Staatsgebiet von Weissrussland (Belarus) fuer die Zwecke von BALTEX;RE8050;Wissenschaftliche Zusammenarbeit mit anderen Staaten (soweit nicht in anderen Bereichen);1081997;31122001;34845;Technologie- und Innovationsfoerderung;
07AF105 /4;BMBF;724;PT-GSF;PT-UKF;Leibniz-Institut fuer Troposphaerenforschung e.V.;14713000;Leipzig, Stadt;Leipzig;Sachsen;;Leibniz-Institut fuer Troposphaerenforschung e.V.;14713000;Leipzig, Stadt;Leipzig;Sachsen;;Mehrwellenlaengenlidar- und Flugzeugmessungen im Rahmen eines Aerosolsaeulenschliessungsexperiments;FA1011;Klimaprozesse;1091997;31082000;88454;Forschung und Entwicklung zur Daseinsvorsorge;
07AF106 /5;BMBF;724;PT-GSF;PT-UKF;Leibniz-Institut fuer Troposphaerenforschung e.V.;14713000;Leipzig, Stadt;Leipzig;Sachsen;;Leibniz-Institut fuer Troposphaerenforschung e.V.;14713000;Leipzig, Stadt;Leipzig;Sachsen;;Foerderschwerpunkt Aerosolforschung (AFS): Charakterisierung der vertikalen Aerosolverteilung ueber einem industriell gepraegten Ballungsraum (Leipzig) als Beitrag zum AFS-Lidarmessnetz ;FA1011;Klimaprozesse;1091997;31082000;135134;Forschung und Entwicklung zur Daseinsvorsorge;
