FKZ;Ressort;Referat;PT;Arb.-Einh.;Zuwendungsempfaenger;Gemeindekennziffer;Stadt/Gemeinde;Ort;Land;Staat;AusfuehrendeStelle;Gemeindekennziffer_1;Stadt/Gemeinde_2;Ort_3;Land_4;Staat_5;Thema;Leistungsplansystematik;KlartextLeistungsplansystematik;LaufzeitVon;LaufzeitBis;FoerdersummeInEUR;Foerderprofil;Verbundprojekt
W106100 /0;BMBF;323;BIBB;02. Apr;Deutsche Telekom AG;5314000;Bonn, Stadt;Bonn;Nordrhein-Westfalen;;Deutsche Telekom AG;11000000;Berlin, Stadt;Berlin;Berlin;;Erstellung des Auftrages fuer das Leitprojekt: Globaler Lern- und Innovationsmarkt (GLIM) Nutzung weltweit;OB7000;Reform- und Umsetzungsstrategien des Lebenslangen Lernens in nationalen und internationalen Bezuegen;1101997;28021998;51129;Forschung und Entwicklung zur Daseinsvorsorge;
21LT586I/8;BMBF;314;BIBB;AB 4.3;Handwerkskammer Braunschweig-Lueneburg-Stade;3101000;Braunschweig, Stadt;Braunschweig;Niedersachsen;;Handwerkskammer Braunschweig-Lueneburg-Stade;3101000;Braunschweig, Stadt;Braunschweig;Niedersachsen;;Modernisierung der BBS Braunschweig, Koenigshuetter und Wofenbuettel;YB3000;ueberbetriebliche berufliche Ausbildungsstaetten;28111997;31121999;373141;uebrige, nicht FuE-relevante Bildungsausgaben (ohne BAfoeG);
19K9801 /4;BMWi;IVA3;PT-MVT;MVBW;Bauhaus-Universitaet Weimar;16055000;Weimar, Stadt;Weimar;Thueringen;;Bauhaus-Universitaet Weimar - Fakultaet Bauingenieurwesen;16055000;Weimar, Stadt;Weimar;Thueringen;;Aktualisierung und Erweiterung von Planspielansaetzen im Verkehrswersen im Hinblick auf die Erstellung von Mobilitaetsspielen;HA6000;Mobilitaet und Verkehr besser verstehen;1011998;31072000;219763;Technologie- und Innovationsfoerderung;
0311672 /9;BMBF;613;PT-J;LGF2;Leibniz-Institut fuer Alternsforschung - Fritz-Lipmann-Institut e. V. (FLI);16053000;Jena, Stadt;Jena;Thueringen;;Leibniz-Institut fuer Alternsforschung - Fritz-Lipmann-Institut e. V. (FLI) - Abt. Einzelzell- und Einzelmolekueltechniken;16053000;Jena, Stadt;Jena;Thueringen;;Entwicklung eines Laser-Scanning-Mikroskops mit FS-Laser-Mikrostrahl und optischer Pinzette fuer Anwendungen in der Biotechnologie;AA0230;Systembiologie;1011998;31122000;148786;Technologie- und Innovationsfoerderung;
0329806 /6;BMWi;IIC6;PT-J;ESN4;Technische Universitaet Muenchen;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Technische Universitaet Muenchen - Lehrstuhl fuer Energie- und Umweltverfahrenstechnik;9184119;Garching b.Muenchen, St;Garching b.Muenchen;Bayern;;Grundsatzanalyse zu masseoptimierten thermischen Mehrschicht-Isolationen fuer Hochtemperatur-Brennstoffzellen (MCFC, SOFC);EA2253;Brennstoffzelle - MCFC;1011998;30062001;246425;Technologie- und Innovationsfoerderung;
13N7422 /4;BMBF;514;PT-VDI;TZ-PT;LISA laser products OHG Fuhrberg & Teichmann;3155007;Katlenburg-Lindau;Katlenburg-Lindau;Niedersachsen;;LISA laser products OHG Fuhrberg & Teichmann;3155007;Katlenburg-Lindau;Katlenburg-Lindau;Niedersachsen;;Verbundprojekt: Diodengepumpte Festkoerperlaser hoher Brillanz - Teilvorhaben: Neue Konzepte diodengepumpter Festkoerperlaser im gepulsten oder modengekoppelten Betrieb fuer den Wellenlaengenbereich bei 2 um;L01160;Optische Technologien: Applikationsuebergreifende Technologiefeldentwicklung;1101998;31032002;287857;Technologie- und Innovationsfoerderung;Diodengepumpte Festkoerperlaser hoher Brillianz
13N7299 /3;BMBF;514;PT-VDI;TZ-PT;JENOPTIK Optical Systems GmbH;16053000;Jena, Stadt;Jena;Thueringen;;JENOPTIK Optical Systems GmbH - Bereich Sondertechnik/Lasergeraete;16053000;Jena, Stadt;Jena;Thueringen;;Verbundprojekt: Diodengepumpte Festkoerperlaser hoher Brillanz - Teilvorhaben: Grundlagenuntersuchungen zu Scheibenlasern im kontinuierlichen und gepulsten Betrieb;L01160;Optische Technologien: Applikationsuebergreifende Technologiefeldentwicklung;1011998;31122000;356419;Technologie- und Innovationsfoerderung;Diodengepumpte Festkoerperlaser hoher Brillianz
13N7301 /0;BMBF;523;PT-VDI;TZ-PT;Coherent LaserSystems GmbH & Co. KG;3159016;Goettingen, Stadt;Goettingen;Niedersachsen;;Coherent LaserSystems GmbH & Co. KG - Abt. Forschung und Entwicklung - Abstimmbare Laser;3159016;Goettingen, Stadt;Goettingen;Niedersachsen;;Verbundprojekt: Diodengepumpte Festkoerperlaser hoher Brillanz - Teilvorhaben: Gepulste diodengepumpte Festkoerperlaser im ultravioletten Spektralbereich;L01160;Optische Technologien: Applikationsuebergreifende Technologiefeldentwicklung;1051998;31121999;379;Technologie- und Innovationsfoerderung;Diodengepumpte Festkoerperlaser hoher Brillianz
13N7300 /9;BMBF;523;PT-VDI;TZ-PT;Universitaet Stuttgart;8111000;Stuttgart, Landeshauptstadt;Stuttgart;Baden-Wuerttemberg;;Universitaet Stuttgart - Fakultaet 7 Konstruktions-, Produktions- und Fahrzeugtechnik (Maschinenbau) - Institut fuer Strahlwerkzeuge (IFSW);8111000;Stuttgart, Landeshauptstadt;Stuttgart;Baden-Wuerttemberg;;Verbundprojekt: Diolengepumpte Festkoerperlaser hoher Brillianz - Teilvorhaben: Grundlegende Untersuchungen zum Scheibenlaser in verschiedenen Betriebsarten;L01160;Optische Technologien: Applikationsuebergreifende Technologiefeldentwicklung;1101997;31102000;1538324;Technologie- und Innovationsfoerderung;Diodengepumpte Festkoerperlaser hoher Brillianz
13N7302 /0;BMBF;514;PT-VDI;TZ-PT;ROFIN-SINAR Laser GmbH;2000000;Hamburg, Freie und Hansestadt;Hamburg;Hamburg;;ROFIN-SINAR Laser GmbH;2000000;Hamburg, Freie und Hansestadt;Hamburg;Hamburg;;Verbundprojekt: Diodengepumpte Festkoerperlaser hoher Brillanz - Teilvorhaben: Untersuchung von Scheibenlasern im Hochleistungsbereich;L01160;Optische Technologien: Applikationsuebergreifende Technologiefeldentwicklung;1011998;30042001;566697;Technologie- und Innovationsfoerderung;Diodengepumpte Festkoerperlaser hoher Brillianz
13N7232 /8;BMBF;514;PT-VDI;TZ-PT;Forschungsverbund Berlin e.V.;11000000;Berlin, Stadt;Berlin;Berlin;;Forschungsverbund Berlin e.V.;11000000;Berlin, Stadt;Berlin;Berlin;;Verbundprojekt: Grundlegende Untersuchungen zur Technologie von Hochleistungsdiodenlasern - Teilvorhaben: Hochleistungsdiodenlaser auf der Basis von Al-freien Quantengraeben und Wellenleitern im Wellenlaengenbereich 800 nm - 1000 nm;L01160;Optische Technologien: Applikationsuebergreifende Technologiefeldentwicklung;1031998;28022001;534300;Technologie- und Innovationsfoerderung;Grundlegende Untersuchungen zur Technologie von Hochleistungsdiodenlasern
0311760 /6;BMBF;615;PT-J;BIO2;ORPEGEN Pharma Gesellschaft fuer biotechnologische Forschung, Entwicklung und Produktion mbH;8221000;Heidelberg, Stadt;Heidelberg;Baden-Wuerttemberg;;ORPEGEN Pharma Gesellschaft fuer biotechnologische Forschung, Entwicklung und Produktion mbH;8221000;Heidelberg, Stadt;Heidelberg;Baden-Wuerttemberg;;Verbundprojekt: Modellregion Rhein-Neckar-Dreieck (RND): Entwicklung von neuen Methoden zur Diagnose von Immundefektkrankheiten und zur Erkennung von Therapieresistenz bei Krebserkrankungen;B01004;BioRegio;1011998;31121999;140668;Technologie- und Innovationsfoerderung;Modellregion Rhein-Neckar-Dreieck (RND)
C817098 /9;BMBF;314;BF;;Gesellschaft fuer Informatik e.V.;5314000;Bonn, Stadt;Bonn;Nordrhein-Westfalen;;Gesellschaft fuer Informatik e.V.;5314000;Bonn, Stadt;Bonn;Nordrhein-Westfalen;;Bundeswettbewerb Informatik 1998;RB8020;Wettbewerbe und Preise;1011998;31121999;112484;Technologie- und Innovationsfoerderung;
A665700 /2;BMBF;324;BF;;FGM - Forschungsgruppe Modellprojekte;8221000;Heidelberg, Stadt;Heidelberg;Baden-Wuerttemberg;;Staatliches Schulamt fuer den Lahn-Dill-Kreis;6532023;Wetzlar, Stadt;Wetzlar;Hessen;;Neue Technologien nutzen: Entwicklung von Projekten zur Verantwortungsuebernahme durch Schuelerinnen und Schueler;OB5200;Innovative Entwicklungsprogramme;1011998;31121999;432983;Forschung und Entwicklung zur Daseinsvorsorge;
M043498 /0;BMBF;417;BF;;Cartellverband der Katholischen Deutschen Studentenverbindungen (CV);9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Cartellverband der Katholischen Deutschen Studentenverbindungen - CV-Akademie;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Foerderung hochschulbezogener zentraler Massnahmen;YC7100;Foerderung hochschulbezogener zentraler Massnahmen studentischer Verbaende und anderer Organisationen;1101997;30091998;3068;uebrige, nicht FuE-relevante Bildungsausgaben (ohne BAfoeG);
M123698 /8;BMBF;417;BF;;Rheinisch-Westfaelische Technische Hochschule Aachen - Fakultaet 5 - Georessourcen und Materialtechnik - Fachschaft Metallurgie und Werkstofftechnik;5334002;Aachen, Stadt;Aachen;Nordrhein-Westfalen;;Rheinisch-Westfaelische Technische Hochschule Aachen - Fakultaet 5 - Georessourcen und Materialtechnik - Fachschaft Metallurgie und Werkstofftechnik;5334002;Aachen, Stadt;Aachen;Nordrhein-Westfalen;;5. Studententag des Huettenwesens am 23.-25.10.97 in Aachen;YC7100;Foerderung hochschulbezogener zentraler Massnahmen studentischer Verbaende und anderer Organisationen;1101997;31121997;4000;uebrige, nicht FuE-relevante Bildungsausgaben (ohne BAfoeG);
